EL_KEY;EL_KEY2;EL_DESC;EL_DESC2;EL_DESCS;EL_ART1;EL_ART2;EL_ART3;EL_ART4;EL_ART5;EL_MAT1_KEY;EL_MAT2_KEY;EL_MAT1_QTY;EL_MAT2_QTY;EL_MAT1_THK;EL_MAT2_THK;EL_EF_MAT;EL_EF_THK;EL_EF_RIB;EL_EF_LENP;EL_EF_BA;EL_EF_CNC;EL_EF_ET;EL_EB_MAT;EL_EB_THK;EL_EB_RIB;EL_EB_LENP;EL_EB_BA;EL_EB_CNC;EL_EB_ET;EL_EL_MAT;EL_EL_THK;EL_EL_RIB;EL_EL_LENP;EL_EL_BA;EL_EL_CNC;EL_EL_ET;EL_ER_MAT;EL_ER_THK;EL_ER_RIB;EL_ER_LENP;EL_ER_BA;EL_ER_CNC;EL_ER_ET;EL_SUR_F;EL_SUR_B;EL_VAR_F;EL_VAR_B;EL_CORNER1;EL_CORNER2;EL_CORNER3;EL_CORNER4;EL_SURFACE;EL_SUR_RAD;EL_SUR_OVERDIM;EL_TEXTURE;EL_GROUP;EL_LAYER;EL_COR_OD_LL;EL_COR_OD_LR;EL_COR_OD_WF;EL_COR_OD_WB;EL_COR_OD_T;EL_MAT_OD;EL_CNC;EL_OVER_QTY;EL_CNC_PROG1;EL_CNC_PROG2;EL_CNC_PROG3;EL_CNC_PROG4;EL_PIC;EL_PLAN;EL_REMARK;EL_REMARK2;EL_REMARK3;EL_BOX;EL_BOX2;EL_MEMO;EL_DIFF_FAC;EL_NR;EL_SUR_F2;EL_SUR_B2;EL_USE_SF;EL_USE_SB;EL_SAW;EL_COLOUR;EL_LIN_WID;EL_PRODUCTION_TYPE;EL_ID;EL_MON_OD_LL;EL_MON_OD_LR;EL_MON_OD_WF;EL_MON_OD_WB;EL_MAC;EL_CUSTOM01;EL_CUSTOM02;EL_CUSTOM03;EL_CUSTOM04;EL_CUSTOM05;EL_CUSTOM06;EL_CUSTOM07;EL_CUSTOM08;EL_CUSTOM09;EL_CUSTOM10;EL_MUL_WITH_POS_QTY;EL_DIRLINE;EL_CHANGESIDES;EL_DEF_TEXTURE;EL_BLOK_ID;EL_BLOK_ELEM_ID;EL_PIC_FILE;EL_PIC_FILE2
1VEZH2_PSXX;;VEZ HORIZONTALNI - kant 2;Prednji/Donji Stražnji/Gornji;;54;;;;;1IL18;;1;0;18;0;4ABS10;1;0;0;0;0;;4ABS10;1;0;0;0;0;;;0;0;0;0;0;;;0;0;0;0;0;;;;;;0;0;0;0;0;0;;0;1;4026531840;0;0;0;0;0;1;1;0;;;;;;;;;;;;System.Byte[];1;0;;;1;1;1;-16777216;4026531840;0;908;;;;;;;;;;;;;;;;1;1;0;1;;;;
2PREGH2_PXXD;;PREGRADA HORIZONTALNA - kant 2;Prednji Desni;;54;;;;;1IL18;;1;0;18;0;4ABS10;1;0;0;0;0;;;0;0;0;0;0;;;0;0;0;0;0;;4ABS10;1;0;0;0;0;;;;;;0;0;1;-1;0;0;;0;1;4026531840;0;0;0;0;0;1;1;0;;;;;;;;;;;;System.Byte[];1;0;;;1;1;1;-16777216;4026531840;0;915;;;;;;;;;;;;;;;;1;1;0;1;;;;
1VEZV1_XSXX;;VEZ VERTIKALNI - kant 1;Stražnji/Lijevi;;54;;;;;1IL18;;1;0;18;0;;0;0;0;0;0;;4ABS10;1;0;0;0;0;;;0;0;0;0;0;;;0;0;0;0;0;;;;;;-1;-1;0;0;0;0;;0;1;4026531840;0;0;0;0;0;1;1;0;;;;;;;;;;;;System.Byte[];1;0;;;1;1;1;-16777216;4026531840;0;909;;;;;;;;;;;;;;;;1;1;0;1;;;;
2POL1_PXXX;;POLICA - kant 1;Prednji;;54;;;;;1IL18;;1;0;18;0;4ABS10;1;0;0;0;0;;;0;0;0;0;0;;;0;0;0;0;0;;;0;0;0;0;0;;;;;;0;0;-1;-1;0;0;;0;1;4026531840;0;0;0;0;0;1;1;0;;;;;;;;;;;;System.Byte[];1;0;;;1;1;1;-16777216;4026531840;0;912;;;;;;;;;;;;;;;;1;1;0;1;;;;
1VEZV1_PXXX;;VEZ VERTIKALNI - kant 1;Prednji/Desni;;54;;;;;1IL18;;1;0;18;0;4ABS10;1;0;0;0;0;;;0;0;0;0;0;;;0;0;0;0;0;;;0;0;0;0;0;;;;;;0;0;-1;-1;0;0;;0;1;4026531840;0;0;0;0;0;1;1;0;;;;;;;;;;;;System.Byte[];1;0;;;1;1;1;-16777216;4026531840;0;910;;;;;;;;;;;;;;;;1;1;0;1;;;;
1VEZV2_PSXX;;VEZ VERTIKALNI - kant 2;Prednji/Desni Stražnji/Lijevi;;54;;;;;1IL18;;1;0;19;0;4ABS10;1;0;0;0;0;;4ABS10;1;0;0;0;0;;;0;0;0;0;0;;;0;0;0;0;0;;;;;;0;0;0;0;0;;;0;1;4026531840;0;0;0;0;0;1;0;0;;;;;;;;;;;;System.Byte[];1;0;;;1;1;1;-16777216;4026531840;0;911;;;;;;;;;;;;;;;;1;1;0;1;;;;
2PREG1_PXXX;;PREGRADA - kant 1;Prednji;;54;;;;;1IL18;;1;0;18;0;4ABS10;1;0;0;0;0;;;0;0;0;0;0;;;0;0;0;0;0;;;0;0;0;0;0;;;;;;0;0;-1;-1;0;0;;0;1;4026531840;0;0;0;0;0;1;1;0;;;;;;;;;;;;System.Byte[];1;0;;;1;1;1;-16777216;4026531840;0;913;;;;;;;;;;;;;;;;1;1;0;1;;;;
2PREGH1_PXXX;;PREGRADA HORIZONTALNA - kant 1;Prednji;;54;;;;;1IL18;;1;0;18;0;4ABS10;1;0;0;0;0;;;0;0;0;0;0;;;0;0;0;0;0;;;0;0;0;0;0;;;;;;0;0;-1;-1;0;0;;0;1;4026531840;0;0;0;0;0;1;1;0;;;;;;;;;;;;System.Byte[];1;0;;;1;1;1;-16777216;4026531840;0;914;;;;;;;;;;;;;;;;1;1;0;1;;;;
2PREGH2_PXLX;;PREGRADA HORIZONTALNA - kant 2;Prednji Lijevi;;54;;;;;1IL18;;1;0;18;0;4ABS10;1;0;0;0;0;;;0;0;0;0;0;;4ABS10;1;0;0;0;0;;;0;0;0;0;0;;;;;;0;0;-1;1;0;0;;0;1;4026531840;0;0;0;0;0;1;1;0;;;;;;;;;;;;System.Byte[];1;0;;;1;1;1;-16777216;4026531840;0;916;;;;;;;;;;;;;;;;1;1;0;1;;;;
2PREGV1_PXXX;;PREGRADA VERTIKALNA- kant 1;Prednji;;54;;;;;1IL18;;1;0;18;0;4ABS10;1;0;0;0;0;;;0;0;0;0;0;;;0;0;0;0;0;;;0;0;0;0;0;;;;;;0;0;-1;-1;0;0;;0;1;4026531840;0;0;0;0;0;1;1;0;;;;;;;;;;;;System.Byte[];1;0;;;1;1;1;-16777216;4026531840;0;917;;;;;;;;;;;;;;;;1;1;0;1;;;;
