MAT_KEY;MAT_KEY2;MAT_DESC;MAT_DESC2;MAT_DESCS;MAT_MANUF_KEY;MAT_THICK;MAT_COL;MAT_COL2;MAT_LAYER;MAT_GROUP;MAT_ART1;MAT_ART2;MAT_ART3;MAT_ART4;MAT_ART5;MAT_W_UN;MAT_O_UN;MAT_ROT;MAT_WEIGHT;MAT_W_PRICE;MAT_BM_L;MAT_BM_W;MAT_BM_T;MAT_ED_L;MAT_ED_W;MAT_ED_T;MAT_ED_M;MAT_MEMO;MAT_DRILL;MAT_DATE;MAT_MC_MAT;MAT_MC_MAT_NO_EDGE;MAT_MR_MAT;MAT_MP_MAT;MAT_MATHATCH;MAT_DECORE;MAT_LEVEL1;MAT_LEVEL2;MAT_LEVEL3;MAT_LEVEL_ABAND;MAT_LEVEL_TMP;MAT_CUSTOM01;MAT_CUSTOM02;MAT_CUSTOM03;MAT_CUSTOM04;MAT_CUSTOM05;MAT_CUSTOM06;MAT_CUSTOM07;MAT_CUSTOM08;MAT_CUSTOM09;MAT_CUSTOM10;MAT_NO_ORDER;MAT_ID;MAT_F_LEN;MAT_F_WID;MAT_F_THK;MAT_FACT;MAT_REST;MAT_MAC;MAT_ROUTER_GROUP;MAT_IMAGE_ID;MAT_ROUTER_DATA;MAT_COL_RAL;MAT_COL_NCS
1IV-;;------------------------------------------------------------;;;;0;-16777216;-16777216;4026531840;4026531840;1;;;;;%;%;1;0;0;0;0;0;0;0;0;0,5;;0;3.6.2025. 0:00:00;;;;;;;1;0;0;0;0;;;;;;;;;;;0;70;0;0;0;1;0;;;;;;
1IV--;;IVERICE;;;;0;-16777216;-16777216;4026531840;4026531840;1;;;;;%;%;1;0;0;0;0;0;0;0;0;0,5;;0;3.6.2025. 0:00:00;;;;;;;1;0;0;0;0;;;;;;;;;;;0;71;0;0;0;1;0;;;;;;
1IV---;;------------------------------------------------------------;;;;0;-16777216;-16777216;4026531840;4026531840;1;;;;;%;%;1;0;0;0;0;0;0;0;0;0,5;;0;3.6.2025. 0:00:00;;;;;;;1;0;0;0;0;;;;;;;;;;;0;72;0;0;0;1;0;;;;;;
HE_0045317;;Klizni okov TopLine 110;lijeva sprijeda;;45317;0;0;0;4026531840;4026531840;7;0;0;0;0;GAR;GAR;1;0;0;0;0;0;0;0;0;0;System.Byte[];13;26.8.2025. 0:00:00;;;;;;;1;0;0;0;1;;;;;;;;;;;0;7934;0;0;0;1;0;;;248;;;
HE_9156338;;Klizni okov SlideLine M, 30kg, soft close;unutranja vrata, utori u podu i stropu, min. ŠV=450 mm;;9156338;0;0;0;4026531840;4026531840;7;0;0;0;0;GAR;GAR;1;0;0;0;0;0;0;0;0;0;System.Byte[];13;3.6.2025. 0:00:00;;;;;;;1;0;0;0;0;;;;;;;;;;;0;7935;0;0;0;1;0;;;249;;;
HE_9156339;;Klizni okov SlideLine M, 30kg;unutranja vrata, utori u podu i stropu, min. ŠV=300 mm;;9156339;0;0;0;4026531840;4026531840;7;0;0;0;0;GAR;GAR;1;0;0;0;0;0;0;0;0;0;System.Byte[];13;3.6.2025. 0:00:00;;;;;;;1;0;0;0;0;;;;;;;;;;;0;7936;0;0;0;1;0;;;249;;;
1MDF-;;------------------------------------------------------------;;;;0;-16777216;-16777216;4026531840;4026531840;1;;;;;%;%;1;0;0;0;0;0;0;0;0;0,5;;0;13.5.2026. 0:00:00;;;;;;;1;0;0;0;0;;;;;;;;;;;0;96;0;0;0;1;0;;;;;;
1MDF--;;MEDIAPANI;;;;0;-16777216;-16777216;4026531840;4026531840;1;;;;;%;%;1;0;0;0;0;0;0;0;0;0,5;;0;3.6.2025. 0:00:00;;;;;;;1;0;0;0;0;;;;;;;;;;;0;97;0;0;0;1;0;;;;;;
1MDF---;;------------------------------------------------------------;;;;0;-16777216;-16777216;4026531840;4026531840;1;;;;;%;%;1;0;0;0;0;0;0;0;0;0,5;;0;3.6.2025. 0:00:00;;;;;;;1;0;0;0;0;;;;;;;;;;;0;98;0;0;0;1;0;;;;;;
1MDF04;;MDF 4 MM;;;;4;-16777216;-16777216;4026531840;4026531840;1;193;253;;;M2;M2;1;0;0;0;0;0;0;0;0;0;System.Byte[];0;3.6.2025. 0:00:00;;;;;;;1;0;0;0;0;;;;;;;;;;;0;99;2750;2050;8;1;0;;;;;;
