UP_KEY;UP_DESC;UP_ALLOW_NEG;UP_IS_INT;UP_LIM_MIN;UP_LIM_MAX;UP_CAPTION;UP_LONGDESC;UP_TYPE;UP_PICTURE;UP_IS_WMF
DPL;Duljina pulta lijevo;0;0;;;;;0;;0
DS;Odredi širinu;0;0;;;Element/Širina;;0;;0
DU;Oblik nastavka;0;0;;;D desno/U lijevo i desno;;0;;0
DVZ;Dodatna visina straga;1;0;;;;;0;System.Byte[];1
FI;Promjer;1;0;;;;;0;;0
GK;Dubina korpusa;0;0;;;;;0;System.Byte[];1
GKD;Dubina korpusa desno;0;0;;;;;0;System.Byte[];1
GKL;Dubina korpusa lijevo;0;0;;;;;0;System.Byte[];1
GLP;Dubina ladice;1;0;;;;;0;;0
GLP1;Dubina korpusa 1;1;0;;;;;0;;0
GLR;Dubina glodanja;0;0;;;;;0;System.Byte[];1
GLU;Dubina utora/poluutora;1;0;;;;;0;System.Byte[];1
GRU;Dubina rolo utora;0;0;;;;;0;;0
H1;Visina 1;0;0;;;;;0;;0
H2;Visina 2;0;0;;;;;0;;0
H3;Visina 3;0;0;;;;;0;;0
H4;Visina 4;0;0;;;;;0;;0
HDK;Leđa desno do kraja;0;0;;;Ne/Da;;0;;0
HDT;Leđa dolje do kraja;0;0;;;Ne/Da;;0;System.Byte[];1
HLK;Leđa lijevo do kraja;0;0;;;Ne/Da;;0;;0
HMC;Visoki Magic Corner;0;0;;;Ne/Da;;0;;0
HP;Horizontalna pregrada;0;0;;;Ne/Da;;0;;
HSK;Leđa dolje do kraja;0;0;;;Ne/Da;;0;;0
IZR_10;Izračun 10;;;;;;Pomoćno polje za izračun;0;;
IZR_11;Izračun 11;;;;;;Pomoćno polje za izračun;0;;
IZR_12;Izračun 12;;;;;;Pomoćno polje za izračun;0;;
IZR_13;Izračun 13;;;;;;Pomoćno polje za izračun;0;;
IZR_14;Izračun 14;;;;;;Pomoćno polje za izračun;0;;
SPOL1;Strop položaj;;;;;Između stranica/Iznad stranica;Položaj stropa u odnosu na stranice korpusa.;0;System.Byte[];0
KORAK;Korak;0;0;;;;;0;;0
KOT;Kut odreza;0;0;;;;;0;;0
KPKS;Kut zidova;1;0;;;;;0;;1
KRAJD;Krajnja desna;0;0;;;Ne/Da;;0;;0
KRAJL;Krajnja lijeva;0;0;;;Ne/Da;;0;;0
KT;Kut šiljasti/tupi;0;0;;;;Smjer odstupanja od pravokutnosti ugla zidova;0;System.Byte[];1
KUT;Kut;1;0;;;;;0;System.Byte[];1
KUTS;Kut šiljasti/tupi;0;0;;;Tupi/Šiljasti;Smjer odstupanja od pravokutnosti ugla zidova;0;System.Byte[];1
KUTZ;Kut razlike pravokutnosti zidova;0;0;;;;Iznos kuta odstupanja od pravokutnosti ugla zidova (razlika od 90 stupnjeva);0;System.Byte[];1
KUTZX;Kut zakretanja po osi X;1;0;;;;;0;;0
KUTZY;Kut zakretanja po osi Y;1;0;;;;;0;;0
KUTZZ;Kut zakretanja po osi Z;1;0;;;;;0;;0
KZ;Kut razlike pravokutnosti zidova;0;0;;;;Iznos kuta odstupanja od pravokutnosti ugla zidova (razlika od 90 stupnjeva);0;System.Byte[];1
LD;Lijevo/Desno;0;0;;;Llijevo/Desno;;0;;0
LD0;Vrata;0;0;;;Lijeva/Desna/Bez;;0;;0
LD1;Strana;0;0;;;Lijevo/Desno;;0;;0
LDU;Nastavak;0;0;;;Lijevi/Desni/Oba;;0;;0
LIJ;Lijevo;0;0;;;Ne/Da;;0;;0
LKD;Letvica kutna - desna;0;0;;;Ne/Da;;0;;0
LKKU;Letvica kutna - kutnik unutrašnji;0;0;;;Ne/Da;;0;;0
LKL;Letvica kutna - lijeva;0;0;;;Ne/Da;;0;;0
LKP;Letvica kutna - prednja;0;0;;;Ne/Da;;0;;0
LKPD;Letvica kutna prednja desna;0;0;;;Ne/Da;;0;;0
